job_id,act_calibration,act_equalization,act_equalization_alpha,beta,bias_corr,checkpoint_name,compile_eval,compile_ptq,config,convert_layernorm_to_rmsnorm,dataset,dtype,eval,export_prefix,export_target,few_shot_eval,few_shot_limit,few_shot_override_batch_size,few_shot_tasks,few_shot_zeroshot,functional_sdpa_quant,fuse_sequences,gamma,gpfq,gptq,gpxq_act_order,gpxq_block_name,gpxq_create_weight_orig,gpxq_max_accumulator_bit_width,gpxq_max_accumulator_tile_size,gpxq_use_quant_activations,gradient_accumulation_steps,help,input_bit_width,input_group_size,input_param_method,input_quant_format,input_quant_granularity,input_quant_type,input_scale_precision,input_scale_type,kv_quant_granularity,kv_quant_type,learned_round,learned_round_fast_update,learned_round_iters,learned_round_lr,learned_round_scale,learned_round_scale_lr,learned_round_scale_momentum,learning_rate,ln_affine_merge,load_awq,load_checkpoint,log_on_each_node,logging_steps,lr_scheduler_type,max_steps,model,no_quantize,nsamples,nsamples_rot_calibration,optimize_rotations,per_device_train_batch_size,quant_sdpa,quantize_input_zero_point,quantize_last_layer,quantize_weight_zero_point,replace_mha,replace_rmsnorm,rotation,rotation_layers_to_expand,rotation_mode,rotation_orphan_sink,rotation_sdpa_regions,save_safetensors,scale_rounding_func_type,scaling_min_val,seed,seqlen,svd_quant,svd_quant_iters,svd_quant_rank,temperature,use_distillation_loss,weight_bit_width,weight_decay,weight_equalization,weight_group_dim,weight_group_size,weight_param_method,weight_quant_format,weight_quant_granularity,weight_quant_type,weight_scale_precision,elapsed_time,status,retry_number,brevitas_version,torch_version,float_ppl,quant_ppl
5b055bf4f5a553ac30d7978c075a80d3,False,,0.5,0.0,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,0.1,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,1.5,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,1.0,True,3,0.0,False,,128,stats,int,per_group,sym,float_scale,849.7084426879883,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,45.77464294433594
2ef10b4be92d1b151580b9239a47f622,False,,0.5,0.5,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,0.1,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,1.5,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,1.0,True,3,0.0,False,,128,stats,int,per_group,sym,float_scale,836.9235188961029,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,40.50438690185547
75c96cf9ffa34a8269892674b21f53b9,False,,0.5,1.0,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,0.1,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,1.5,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,1.0,True,3,0.0,False,,128,stats,int,per_group,sym,float_scale,868.6225817203522,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,39.653602600097656
07b0a0d1371b016e26b9e46e5eeb5bc1,False,,0.5,,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,3.0,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,,,3,0.0,False,,128,stats,int,per_group,sym,float_scale,669.7750113010406,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,35.68710708618164
3574f352d47c4ed37946fd7151a68308,False,,0.5,0.0,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,0.1,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,1.5,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,2.0,True,3,0.0,False,,128,stats,int,per_group,sym,float_scale,874.6166429519653,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,44.82917785644531
3bd951dc37ae63f92b25ad0afe582a96,False,,0.5,,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,1.5,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,,,3,0.0,False,,128,stats,int,per_group,sym,float_scale,690.3830258846283,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,37.96018600463867
1b1771b16f7be82684b752b2ee72d6dd,False,,0.5,0.5,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,0.1,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,1.5,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,2.0,True,3,0.0,False,,128,stats,int,per_group,sym,float_scale,863.0915789604187,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,41.235050201416016
ae14aa097c54b22489f0cc28b59e4e2e,False,,0.5,1.0,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,0.1,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,1.5,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,2.0,True,3,0.0,False,,128,stats,int,per_group,sym,float_scale,884.2669327259064,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,45.084896087646484
54b61dc685ca15e256aec724633c4899,False,,0.5,0.0,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,0.5,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,1.5,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,1.0,True,3,0.0,False,,128,stats,int,per_group,sym,float_scale,855.7098016738892,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,41.53861618041992
b35c2e69b3625aae013e52d01a6328b4,False,,0.5,0.5,False,,False,False,,False,wikitext2,float32,True,,,,,,"['arc_challenge', 'arc_easy', 'winogrande', 'piqa']",False,False,False,0.5,False,False,False,,False,,,False,4,==SUPPRESS==,,64,stats,int,per_tensor,asym,float_scale,static,,,,False,200,0.005,False,0.01,0.9,1.5,False,,False,False,10,cosine,100,HuggingfaceTB/SmolLM2-135M,False,128,800,True,2,False,False,False,False,False,True,fused_no_fx,[],had,True,True,False,,0.0001,0,2048,False,1,32,1.0,True,3,0.0,False,,128,stats,int,per_group,sym,float_scale,884.1700344085693,successful,1,0.11.1.dev108+gabeacd50.d20250312,2.4.1+cu121,13.738974571228027,39.631473541259766
