Model name,Target backend,Scale factor type,Weight bit width,Act bit width,Bias bit width,Scaling per output channel,Act quant type,Bias corr,Graph eq iterations,Graph eq merge bias,Gptq,Gptq act order,Act quant percentile,Top 1% floating point accuracy,Top 1% quant accuracy,Floating point accuracy - quant accuracy,Quant accuracy / floating point accuracy,Calibration size,Calibration batch size,Torch version,Brevitas version
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,False,False,99.9,71.898,8.612,-63.286,0.12,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,False,False,99.99,71.898,7.01,-64.888,0.097,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,False,False,99.999,71.898,4.926,-66.972,0.069,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,True,False,99.9,71.898,33.94,-37.958,0.472,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,True,False,99.99,71.898,31.42,-40.478,0.437,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,True,False,99.999,71.898,25.08,-46.818,0.349,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,True,True,99.9,71.898,0.106,-71.792,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,True,True,99.99,71.898,0.11,-71.788,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,True,True,99.999,71.898,0.1,-71.798,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,False,False,99.9,71.898,5.996,-65.902,0.083,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,False,False,99.99,71.898,6.344,-65.554,0.088,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,False,False,99.999,71.898,5.908,-65.99,0.082,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,True,False,99.9,71.898,25.896,-46.002,0.36,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,True,False,99.99,71.898,25.738,-46.16,0.358,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,True,False,99.999,71.898,32.738,-39.16,0.455,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,True,True,99.9,71.898,0.106,-71.792,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,True,True,99.99,71.898,0.138,-71.76,0.002,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,True,True,99.999,71.898,0.098,-71.8,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,asymmetric,True,20,True,False,False,99.9,71.898,5.404,-66.494,0.075,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,asymmetric,True,20,True,False,False,99.99,71.898,5.102,-66.796,0.071,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,asymmetric,True,20,True,False,False,99.999,71.898,4.81,-67.088,0.067,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,asymmetric,True,20,True,True,False,99.9,71.898,30.038,-41.86,0.418,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,34.102,-37.796,0.474,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,asymmetric,True,20,True,True,False,99.999,71.898,29.392,-42.506,0.409,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
