Model name,Target backend,Scale factor type,Weight bit width,Act bit width,Bias bit width,Scaling per output channel,Act quant type,Bias corr,Graph eq iterations,Graph eq merge bias,Gptq,Gptq act order,Act quant percentile,Top 1% floating point accuracy,Top 1% quant accuracy,Floating point accuracy - quant accuracy,Quant accuracy / floating point accuracy,Calibration size,Calibration batch size,Torch version,Brevitas version
mobilenet_v2,generic,po2,4,8,int32,False,symmetric,True,20,True,True,False,99.99,71.898,28.12,-43.778,0.391,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,po2,4,8,int32,False,symmetric,True,20,True,True,False,99.999,71.898,30.244,-41.654,0.421,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,symmetric,True,20,True,True,False,99.999,71.898,32.738,-39.16,0.455,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,po2,4,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,32.86,-39.038,0.457,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,po2,4,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,33.812,-38.086,0.47,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int16,False,asymmetric,True,20,True,True,False,99.9,71.898,33.94,-37.958,0.472,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,asymmetric,True,20,True,True,False,99.99,71.898,34.102,-37.796,0.474,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,flexml,po2,4,8,int32,False,symmetric,True,20,True,True,False,99.9,71.898,34.76,-37.138,0.483,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,layerwise,float32,4,8,int32,True,symmetric,True,20,True,False,False,99.9,71.898,37.898,-34.0,0.527,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,True,False,99.999,71.898,39.24,-32.658,0.546,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
